br?	Month	EXT_STAT-m1_is_missing	EXT_STAT-m1_=_C	EXT_STAT-m1_=_E	EXT_STAT-m1_=_I	INT_STAT-m1_is_missing	INT_STAT-m1_=_N	INT_STAT-m1_=_O	INT_STAT-m1_=_X	CASH-m1	EXT_STAT-m1_=_I*INT_STAT-m1_is_missing 	Calibrator
1	13	-1.11022e-16	0	1	0	0	0	0	1	21.99	0	0.0857334
1	17	-1.11022e-16	1	0	0	0	0	0	1	22.18	0	0.00970939
1	11	-1.11022e-16	0	1	0	0	0	0	1	21.99	0	0.0675111
1	14	-1.11022e-16	0	1	0	0	0	0	1	21.99	0	0.0957406
1	14	1	0	0	0	0	0	0	1	19.99	0	-0.0204608
1	12	-1.11022e-16	0	1	0	0	0	0	1	18.99	0	0.115219
1	15	-1.11022e-16	1	0	0	0	0	0	0	20.99	0	-0.0608973
1	15	-1.11022e-16	1	0	0	0	0	0	0	12.46	0	0.00648171
1	10	-1.11022e-16	0	1	0	0	0	0	1	18.99	0	0.094092
1	10	-1.11022e-16	0	1	0	0	0	0	1	18.99	0	0.094092
1	8	-1.11022e-16	0	1	0	0	0	0	1	16.99	0	0.0999191
1	16	1	0	0	0	0	0	0	1	21.08	0	-0.0169581
1	7	-1.11022e-16	0	1	0	0	0	0	1	16.99	0	0.0897065
1	14	-1.11022e-16	1	0	0	0	0	0	1	20.99	0	0.00179318
1	15	1	0	0	0	0	0	0	1	21.99	0	-0.0299232
1	18	-1.11022e-16	0	1	0	0	0	0	1	22.15	0	0.137308
1	9	-1.11022e-16	0	1	0	0	0	0	1	16.99	0	0.110433
1	13	-1.11022e-16	0	0	1	0	0	0	1	21.99	0	-0.0246306
1	16	-1.11022e-16	0	1	0	0	0	0	0	19.68	0	0.0436415
1	10	-1.11022e-16	0	1	0	0	0	0	1	19.46	0	0.0881071
1	13	1	0	0	0	0	0	0	1	20.99	0	-0.0345576
1	7	-1.11022e-16	0	1	0	0	0	0	1	17.49	0	0.0835465
1	14	-1.11022e-16	0	1	0	0	0	0	1	20.05	0	0.122441
1	14	-1.11022e-16	0	1	0	0	0	0	1	15.15	0	0.197228
1	17	1	0	0	0	0	0	0	0	21.33	0	-0.0901951
1	13	1	0	0	0	0	0	0	1	19.02	0	-0.0190319
1	17	1	0	0	0	0	0	0	0	16.4	0	-0.0422779
1	7	-1.11022e-16	0	1	0	0	0	0	0	13.9	0	0.033198
1	10	-1.11022e-16	0	1	0	0	0	0	0	16.99	0	0.02736
1	7	-1.11022e-16	0	0	1	0	0	0	0	17.49	0	-0.108409
1	15	1	0	0	0	0	0	0	1	17.99	0	-0.00055885
1	10	1	0	0	0	1	0	0	0	15.9	0	0.158329
1	15	-1.11022e-16	0	1	0	0	0	0	1	17.99	0	0.165129
1	15	-1.11022e-16	1	0	0	1	0	0	0	19.99	0	0.0852058
1	15	-1.11022e-16	0	1	0	0	0	0	0	21.99	0	0.0191872
1	18	-1.11022e-16	0	1	0	1	0	0	0	19.8	0	-0.16053
1	17	-1.11022e-16	0	1	0	0	0	0	0	20.33	0	0.0448819
1	7	-1.11022e-16	1	0	0	0	0	1	0	14.99	0	-0.239886
1	17	-1.11022e-16	0	1	0	0	0	0	1	22.33	0	0.123355
1	18	-1.11022e-16	0	1	0	0	0	0	1	22.49	0	0.13242
1	13	1	0	0	0	0	0	0	1	19.3	0	-0.0211321
1	8	1	0	0	0	0	0	0	0	14.99	0	-0.0973455
1	17	1	0	0	0	0	0	0	0	17.99	0	-0.0566615
1	10	-1.11022e-16	0	1	0	0	0	0	1	14.99	0	0.15128
1	10	1	0	0	0	0	0	0	1	19.21	0	-0.0392276
1	13	-1.11022e-16	0	1	0	0	0	0	1	19.99	0	0.112197
1	11	-1.11022e-16	0	1	0	0	0	0	1	17.99	0	0.11845
1	14	-1.11022e-16	0	1	0	0	0	0	1	20.99	0	0.109205
1	13	-1.11022e-16	0	1	0	0	0	0	1	21.99	0	0.0857334
1	13	-1.11022e-16	0	1	0	0	0	0	1	21.99	0	0.0857334
1	9	-1.11022e-16	1	0	0	0	0	0	0	17.62	0	-0.073919
1	18	-1.11022e-16	1	0	0	0	0	0	0	22.21	0	-0.0504141
1	17	1	0	0	0	1	0	0	0	22.37	0	0.175883
1	9	-1.11022e-16	0	1	0	0	0	0	1	22.02	0	0.0511939
1	8	-1.11022e-16	0	1	0	0	0	0	1	17.99	0	0.0869955
1	14	-1.11022e-16	0	1	0	0	0	0	0	22.08	0	0.0130594
1	17	-1.11022e-16	1	0	0	0	0	0	1	20.24	0	0.0235488
1	16	-1.11022e-16	0	1	0	0	0	0	0	20.24	0	0.0388227
1	11	1	0	0	0	0	0	0	1	19.99	0	-0.0392276
1	15	-1.11022e-16	0	1	0	0	0	0	1	17.99	0	0.165129
1	18	-1.11022e-16	0	1	0	0	0	0	0	22.24	0	0.0352467
1	11	-1.11022e-16	0	1	0	0	0	0	1	18.99	0	0.104519
1	12	1	0	0	0	0	0	0	0	19.99	0	-0.117088
1	12	-1.11022e-16	0	0	1	0	0	0	1	17.99	0	-0.00125836
1	9	1	0	0	0	0	0	0	1	17.99	0	-0.0355011
1	14	1	0	0	0	0	0	0	0	21.99	0	-0.121743
1	14	-1.11022e-16	0	1	0	0	0	0	1	18.49	0	0.145498
1	12	-1.11022e-16	0	1	0	0	0	0	1	19.8	0	0.104004
1	13	-1.11022e-16	0	1	0	0	0	0	1	19.02	0	0.125924
1	16	1	0	0	0	1	0	0	0	20.99	0	0.165653
1	10	1	0	0	0	0	0	0	1	19.99	0	-0.0460675
1	7	-1.11022e-16	0	1	0	0	0	0	1	19.05	0	0.0654454
1	12	-1.11022e-16	0	0	1	0	0	1	0	19.99	0	-0.241402
1	16	-1.11022e-16	0	1	0	0	0	0	0	18.99	0	0.0499961
1	11	1	0	0	0	0	0	0	1	18.99	0	-0.0309414
1	10	-1.11022e-16	0	0	1	0	0	0	0	19.99	0	-0.110012
1	17	-1.11022e-16	0	1	0	0	0	0	1	20.24	0	0.154577
1	12	-1.11022e-16	0	1	0	0	0	0	0	14.99	0	0.0585457
1	9	1	0	0	0	0	0	0	0	18.02	0	-0.120947
1	12	-1.11022e-16	0	1	0	0	0	0	1	20.18	0	0.098909
1	13	-1.11022e-16	0	0	1	0	0	0	1	20.12	0	-0.0107817
1	13	-1.11022e-16	0	1	0	0	0	0	1	19.18	0	0.12372
1	8	-1.11022e-16	0	1	0	0	0	0	1	19.18	0	0.0727535
1	16	-1.11022e-16	0	1	0	0	0	0	1	21.99	0	0.11701
1	10	-1.11022e-16	1	0	0	0	0	0	1	19.74	0	-0.0113271
1	13	1	0	0	0	1	0	0	0	19.3	0	0.176743
1	7	-1.11022e-16	0	0	1	1	0	0	0	19.8	1	-0.241344
1	15	-1.11022e-16	0	1	0	0	0	0	0	19.99	0	0.0344226
1	18	-1.11022e-16	0	1	0	0	0	0	1	20.24	0	0.166504
1	12	-1.11022e-16	0	1	0	0	0	0	0	20.99	0	0.00979703
1	12	1	0	0	0	0	0	0	0	19.99	0	-0.117088
1	17	-1.11022e-16	0	1	0	0	0	0	1	22.24	0	0.124637
1	15	-1.11022e-16	0	1	0	0	0	0	1	19.99	0	0.13467
1	15	-1.11022e-16	0	1	0	0	0	0	1	19.99	0	0.13467
1	7	-1.11022e-16	0	1	0	0	0	0	1	19.8	0	0.0576473
1	10	-1.11022e-16	0	1	0	0	0	0	1	17.9	0	0.108681
1	16	-1.11022e-16	0	1	0	0	0	0	0	17.15	0	0.0687669
1	8	-1.11022e-16	0	0	1	1	0	0	0	17.9	1	-0.239267
1	14	1	0	0	0	0	0	0	1	19.08	0	-0.0137075
1	17	-1.11022e-16	0	1	0	0	0	0	1	20.24	0	0.154577
1	7	1	0	0	0	1	0	0	0	19.8	0	0.256402
1	14	1	0	0	0	0	0	0	1	19.99	0	-0.0204608
1	15	1	0	0	0	0	0	0	1	21.99	0	-0.0299232
1	15	1	0	0	0	1	0	0	0	19.99	0	0.161672
1	13	-1.11022e-16	0	1	0	1	0	0	0	20.99	0	-0.0805877
1	17	-1.11022e-16	0	1	0	0	0	0	1	22.24	0	0.124637
1	13	-1.11022e-16	0	1	0	0	0	0	1	14.99	0	0.187474
1	15	1	0	0	0	0	0	0	1	19.99	0	-0.0147231
1	8	-1.11022e-16	0	1	0	0	0	0	1	20.15	0	0.0620781
1	17	-1.11022e-16	0	1	0	0	0	0	1	20.33	0	0.153023
1	7	1	0	0	0	0	0	0	1	19.12	0	-0.0596786
